name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
sec,True,40.0,6.0,0.8695652173913043,
big 12,True,25.0,5.0,0.8333333333333334,
big ten,True,32.0,10.0,0.7619047619047619,
acc,True,34.0,14.0,0.7083333333333334,
pac-12,False,25.0,9.0,0.7352941176470589,
sun belt,False,31.0,22.0,0.5849056603773585,
american athletic,False,23.0,19.0,0.5476190476190477,
fbs independents,False,28.0,29.0,0.49122807017543857,
conference usa,False,19.0,24.0,0.4418604651162791,
mountain west,False,20.0,28.0,0.4166666666666667,
mid-american,False,18.0,30.0,0.375,
